z,LO2,LO3,LnHbeta,LbHbeta,LnHalpha,LbHalpha,LNII,LSII,LFeII,L5100,fwhm_bHbeta,fwhm_OIII
0.3065142,41.1343191437,41.7309655541,40.7724129399,42.3220258762,41.1805738342,42.7132221952,40.8569774196,40.9527578553,42.215444036,44.5071020303,7331.26295164,351.923236281
0.3066646,41.1687333911,41.8057350565,40.8236733473,42.4877793284,41.3852478883,42.8073743101,40.2118136268,41.0995510483,41.8817868185,44.3001703896,6509.06734816,391.319415931
0.3071232,41.0222924028,41.8480074826,40.6905759646,42.2638053073,41.0182370586,42.8140877995,40.4498075552,40.8311541803,42.2264963027,44.2293946408,4081.44306021,378.972952641
0.3071772,41.3579771636,41.6879780078,40.7547804178,41.3556117573,41.1122459106,41.7823079643,41.0954714849,41.1148451856,41.7459117638,43.8251204365,3804.42051764,748.489730553
0.3072198,41.0747741983,41.4889311055,40.9601472393,42.2378729427,41.3723014918,42.6516609392,41.0308354279,41.0382655555,42.5592179157,44.2538547925,4203.0519579,453.344147678
0.3073237,41.3893059567,41.9486723148,40.8880378098,42.2964702319,41.1842608572,42.7780129257,40.9189937472,40.9924478059,42.3986485806,44.5106482487,9404.21722406,280.706213168
0.3078027,41.3072725176,41.8765401029,41.2422683887,42.0757090262,41.7911000583,42.6370716363,41.4121122533,41.2404560357,42.6275665976,44.3520219872,2945.984444,476.657301237
0.307858,41.4544755756,42.1722688792,41.2710428073,42.4830936183,41.6561074647,42.988855417,40.4013117263,41.2130949574,42.271626772,44.3175576295,6117.05813157,315.73107427
0.3079537,41.1142568663,41.7064531393,41.1143440464,42.3800266888,41.2480585458,42.7282365458,40.8100244846,40.7532750367,42.7097197655,44.3561569118,3152.29927726,606.223844988
0.3080118,41.0585747331,41.5186864198,40.794962618,41.9269582915,41.1715776288,42.3725244186,40.5061824574,40.7330769316,42.1445975214,44.0748860641,2765.16771019,378.953928583
0.308302,41.2570360344,41.656883248,41.0286092397,42.0757861528,41.5761833092,42.4009270716,41.0510060515,41.0539577251,42.5667514737,44.2533552568,3088.70958278,705.443084221
0.3084247,42.2085965452,42.5200529153,41.5562829244,42.8768737399,41.8336256602,43.2785206936,41.47175377,41.5557401114,39.8983691488,44.4859920177,9814.08056329,449.787880362
0.3084415,41.1536136186,41.4484859065,40.5608018833,41.9713247774,41.2787242391,42.4417201272,40.6751336882,40.909281146,42.4272038422,44.1592197457,2093.89382663,265.949749872
0.3084666,41.6336368516,42.0961427925,41.3722387363,42.3622154837,41.7750177458,42.8379108549,41.5840506683,41.4585020562,41.7229094726,44.428379183,4553.93077097,531.921831684
0.3084917,41.1288974507,41.6312301477,40.4932190491,42.1217197492,41.0070315532,42.5479280436,40.7550252874,40.9742215311,41.647689266,44.1151353435,9624.28320121,439.033504979
0.3087581,41.0814597562,41.791850223,40.7786838552,42.2683799684,41.2507631277,42.6534188702,41.2569122694,40.9770445694,40.6467107671,44.1426524115,8332.45049551,448.799244981
0.3088457,41.3316755645,41.5458119895,41.0160011811,41.7666755835,41.3609099226,42.3112330776,41.0688380677,41.1640522667,42.3525238149,44.1649407237,2635.60237142,525.752368982
0.3090458,41.5030646117,42.2243563378,41.0893803731,42.3607957641,41.5097857179,42.938156968,41.0017175687,41.0309349612,42.5413309178,44.3011269206,4884.2485305,301.323731038
0.3090962,41.3098333285,42.0801868641,41.2384643316,42.4527839016,41.5766980129,42.7764385287,41.1978789299,40.8294304504,41.9745605435,44.1417802831,4721.88878298,560.783182295
0.3090982,40.8166598379,41.1464078893,40.4706640884,41.5757349534,41.0454386075,42.0816103258,40.7680184741,40.7372168384,41.9498316499,43.8006766828,3183.0487039,388.967844605
0.3093278,41.6541633414,42.1849924891,41.2956030658,42.2671981102,41.5721721439,42.4785870767,41.4417023944,41.3597168094,41.8250277802,44.123944068,13342.8073066,649.323410219
0.3096015,40.7961603577,41.3887927321,40.2249600475,41.9714229089,40.88353129,42.4208197877,40.6603072554,40.6225706301,42.0257993719,44.0228906833,3363.93059122,323.528935176
0.3097149,41.3819135488,42.0719543189,41.1868386024,42.1163272151,41.5627325902,42.5710376396,41.4601708272,41.2297039012,42.1594421975,44.1804525784,5599.57417189,427.331768218
0.3098059,41.3753286301,41.8976929989,41.0460990948,42.332240693,41.5943503645,42.5249077953,41.1405543734,41.0780301517,41.7596503885,44.1495878255,10277.345112,398.109608018
0.3099559,40.928280428,41.1254066067,40.6319903849,41.6244457941,40.9834715271,42.3582555922,40.6536679102,40.94459776,42.2703640543,44.2097915902,2202.53696132,373.909737497
0.3099599,41.9430948046,42.5051427208,41.3452454942,42.0640733089,41.4884020848,42.5639517698,39.9906562837,41.2451973504,42.0256634811,43.9261851522,5265.04107731,433.677038347
0.3100284,41.0106584238,41.5535556981,40.6150911365,42.9418791197,40.91163997,43.1571265589,40.6491515562,41.1730224387,42.8614184924,44.5840690545,11769.493494,428.543189652
0.3101112,40.5228944021,41.4300671593,40.391362597,41.921356822,40.8513742957,42.2866937949,40.030067308,40.3150333124,41.8625027449,43.7625226491,3599.7464193,346.685515747
0.3102726,40.9749203872,41.4968606511,40.6338543801,42.2888744208,41.2043735656,42.6150362767,41.0335249909,40.7190176713,42.3904147441,44.1025463249,3524.96035628,771.228366336
0.310598,40.9362327489,41.6541997245,40.940475394,42.3195034722,41.3155971973,42.6538896155,40.6530059798,40.7727316398,41.9500528223,44.1521007387,6351.35081262,516.963064966
0.3109361,41.0261577099,41.5998078323,40.7308980443,42.1980513662,41.1093812709,42.6990550736,40.7251117797,41.1420246356,42.4426979952,44.136418673,3278.38570077,560.88327954
0.3113479,41.6105118215,42.2287689593,41.1793921358,42.2305329706,41.3765132187,42.6938321714,41.1486670039,41.0495120772,42.2364111611,44.2662847918,6259.38808848,374.15942424
0.3113668,41.4465427415,42.0650780113,41.352289982,42.4798785169,41.7923259356,42.8460932517,41.3655895279,41.369490707,41.9771777082,44.3864521479,7023.90548669,569.610496093
0.3117413,41.2652356279,41.2680492256,40.9013041901,41.6364242041,41.4295049675,42.2182614644,41.1630164561,40.8495883528,42.186259281,44.122180273,2515.79017953,323.358317337
0.3118217,41.7294511748,41.7757755794,41.0694440353,41.584123431,41.444046825,42.0868944065,40.7471284627,40.9626736685,41.5551280334,43.713571613,4749.11288151,300.812497545
0.3118991,41.1807778756,41.9796642276,40.9659727796,42.3258961562,41.5084543019,42.794309547,40.7602041776,41.0002612165,42.0116518582,44.1675334678,3352.79686417,435.495748066
0.3119423,41.0925317758,41.5677339705,40.8762823572,41.4807785024,41.4669325822,42.2316614795,41.2160361033,41.0578532755,41.9997008318,43.9466227509,2275.41791283,527.750675439
