LO3,LO3/LO2,LfeII/LbHbeta,fwhm_bHbeta,LNII/LnHalpha,LSII/LnHalpha,LO3/LnHbeta,fwhm_OIII
41.2529814585,0.4536199807,-0.0955026024,5472.48236861,-0.3676425816,-0.3016744205,0.5290894669,671.541461156
41.7629619459,0.5517397712,-0.1210225172,8525.07136556,-0.7619465294,-0.3550594931,1.0241764615,283.039015972
41.1227002928,0.684462826,0.5099205087,2014.6797309,-0.1996386214,-0.6250450187,0.4542829701,481.255670121
41.1232970255,0.3272132224,-1.2248578618,13021.7468713,-0.2355012041,-0.3178260072,0.8204935178,334.523446374
40.800489567,-0.2316346026,0.7442263742,2804.61115196,-0.127430365,-0.219721191,0.35188479,347.868818467
41.4572872193,0.6402971517,0.098526679,3437.7577194,-0.0398383908,-0.2313461448,1.0131674756,431.882926434
41.2111243983,0.3944414682,0.3739366295,1288.5512489,-0.1545634186,-0.5176369605,0.5773085721,261.491468938
40.7712359807,-0.0325512625,0.5531135225,3960.26901993,-0.2100198372,-0.3080590067,0.2948607143,331.395284474
41.9921300625,0.3722055781,-0.1104690624,9155.00101285,-1.3432228642,-0.4790901128,0.9795488342,330.830317867
41.0749172563,0.3013141193,0.6077633239,1216.35653866,-0.191520333,-0.5130977267,0.3367290011,383.17626233
41.0750986034,0.438691527,0.5399330693,2034.88784695,-0.2409901415,-0.4788898122,0.6129915832,533.823707397
41.4400366365,0.4330780907,0.6795035907,2321.27851725,-0.0773566982,-0.3292421354,0.7555614497,447.761916573
41.4692429704,0.2191857023,0.0603331094,13158.9452083,-0.2387328301,-0.0464097351,0.8863925036,433.351610932
41.2234649505,0.4668598238,0.6013135667,6444.63544594,-0.2755505232,-0.5105473572,0.5843199256,299.551214275
41.2916560209,0.5531987254,0.0677290703,10639.6472766,-0.122793445,0.006366424,0.8809647408,458.458179436
40.7299546104,0.3800494769,0.4424738118,3786.48344703,-0.0949919699,-0.2577892339,0.5006350178,380.339456889
41.8508545482,0.7912319554,-0.165477438,3896.53189436,-0.4642789012,-0.3804628349,1.0368538513,467.480166772
41.4405082625,0.524665056,-1.1935823445,5128.02651303,-0.1413157927,-0.1913262006,1.1627768326,402.984806781
41.6966419956,0.485546559,0.1555623762,4837.19349231,-0.2664021696,-0.1545929075,1.0489656292,369.6330112
41.3340072349,0.5786181845,0.0762489395,4055.17746929,-0.455396763,-0.3525570754,0.8446345498,305.557218176
41.1716819824,0.0835792928,-0.6402268111,6659.76787895,0.0104243055,0.1265731139,1.0178881482,431.893312271
41.1508209933,0.4886694978,-0.0770882974,10916.6422241,-0.0302603596,-0.0915673256,1.0519112515,319.741692193
41.36441337,0.2275951264,0.3250939028,2844.63528374,-0.4271610219,-0.3453157333,0.6487127252,430.834934702
41.55206257,0.2033820826,-0.2530389494,8249.30828967,-0.8950816173,-0.3181428228,0.9116216264,306.601885566
40.8272134998,0.4608451984,0.8229527601,2676.47584562,-0.3358561378,-0.3299110735,0.8493409866,447.762314611
41.0476973364,0.3500999414,0.4150275138,7382.23306844,-0.0302792448,-0.0363486333,1.0621112883,661.69715584
